前5个词,中心词,后五个词
bonus malus entreprise opinion défavorable,réforme,farouche opposition groupe gauche sénat
culture offensive marquer opposition fond,réforme,prévenir élian assassi patron groupe
parcours laborieux supposée mèr bataille,réforme,retraite vainqueur inattendu revenir sénat
révèlent complexité illisibilité inéquité système,réforme,micmac carrière long illustre confusion
verse aujourd'hui quart pension version,réforme,nécessaire rectifier système transforme continuer
capitalisation option gouvernement explorer incipit,réforme,contraire défendre survie répartition trésor
espérance vie bon santé constater,réforme,woerth constater gilbert élie cohen
milliard euro milliard état anxiogène,réforme,retraite permanent an poser base
permanent an poser base prochain,réforme,radical fois
jour jour rappeler bien-fondé projet,réforme,indispensable financer système marteler dimanche
milliard euro horizon objectif afficher,réforme,combler trou parvenir gouvernement compte
force multiplier concession coûteuse retrouver,réforme,virer vert présenter projet début
dussopt affirmer week end parisien,réforme,gauche ministre déléguer compte public
sûrement agir précédent tentative avorter,réforme,modifier règle système réforme point
avorter réforme modifier règle système,réforme,point idée venir cfdt abandonner
introduction langage courant opposition pédant,réforme,systémique réforme paramétrique président république
courant opposition pédant réforme systémique,réforme,paramétrique président république apparaître ore
femme homme ériger grand cause,réforme,retraite pénaliser mère famille -ce
inférieur animer sentiment grand perdant,réforme,femme défiler mardi partout france
militant féministe jug indécent pénaliser,réforme,devoir contraire permettre corriger inégalité
majoration partir taux plein an,réforme,devoir travailler jusqu ’ an
enfant bac prix homme manœuvre,réforme,savoir grossesse fatiguer corps femme
confirmer plein ami arrêter enfant,réforme,françoi hollande supprimer beaucoup aide
lr sénat NDLR opposer principe,réforme,muriel an sage femme orléan
compagnie assurance marie an estime,réforme,devoir venir rééquilibrer inégalité traitement
acquérir compétence utile pays pire,réforme,suffir cause coûteuse concession
repousser opinion public france besoin,réforme,système retraite crédible éviter remettre
hic nunc français opposer solution,réforme,abandonner quinquennat macron actuel projet
abandonner quinquennat macron actuel projet,réforme,bref président macron réélire matière
chose gérable toucher retraite flux,réforme,retraite assimilable construction unité hydroélectrique
lycéen étudiant repartir guerre contre,réforme,retraite côté professeur snuipp syndicat
droit femme jeudi réclamer rapide,réforme,système bourse vendredi organiser rassemblement
macron prêt admettre finalité ultime,réforme,rassurer crédit frontalement chef état
taux zéro révolu résoudre objectif,réforme,retraite amadouer créancier français horrible
soutenir,réforme,retraite oublier rappeler vraie raison
relance européen an président république,réforme,retraite allonger âge départ réforme
réforme retraite allonger âge départ,réforme,aujourd'hui unique raison engagement devoir
obligation évoluer système retraite favorable,réforme,nécessaire équilibrer sorte france sorte
raison opposer expliquer parlementaire autant,réforme,indispensable mettre garde face danger
bellamy loin croit faible acceptabilité,réforme,retraite france constater moment naître
français savoir bien demandent accepter,réforme,conspuer année obéir agenda croire
fable jean fontaine illustrer lien,réforme,retraite français plan relance européen
xavier bellamy résumer constat renvoyer,réforme,agiter pays semaine allemagne inconcevable
fin mobilisation examen parlementaire projet,réforme,retraite achever mars prochain patron
opposant,réforme,retraite refuser travailler an jeune
loi el khomri ordonnance macron,réforme,assurance chômage etc. penser français
déficit remettre question travail coeur,réforme,enjeu central chaire tdte tourner
macron urgence élyser demander retirer,réforme,retraite président république répondre écrit
demander vendredi vote bloquer ensemble,réforme,retraite donner coup accélérateur débat
bras fer figer côté opposant,réforme,agir prendre avantage mobiliser rue
quitte envisager recourir article adopter,réforme,retraite allié républicain voire député
éluder sujet indiquer souhait voir,réforme,aller terme parlement éventualité recours
manque rappeler légitimité jouir porter,réforme,rappeler sujet cœur élection présidentiel
suite prévoir adresser français fois,réforme,adopter tenter enclencher mandat an
bataille joue terrain psychologique adopter,réforme,retraite placer optique maintient élisabeth
trancher sort projet loi sort,réforme,borne jouer finalement nécessaire autorisation
cas édouard philippe demander adopter,réforme,retraite préparer éviter élisabeth born
résoudre heure montr confiant sort,réforme,joue ministre concerner aill vote
matignon doiv demander déception sauver,réforme,condamner
presque détendre heure ministre travail,réforme,retraite charge point largement adopter
jour discussion heure débat amendement,réforme,retraite voter voix contre avance
sénatrice communiste minute tard avis,réforme,retraite trace majorité sénatorial dénoncer
jour monde compte cas vote,réforme,retraite jeudi camp présidentiel disposer
contraindre recourir article constitution adopter,réforme,vote pronostic vérité scrutin foi
compter troupe allié circonstance voter,réforme,jour scrutin répartir vote formation
favennec annonce figaro voter contre,réforme,satisfait source député horizon abstenir
exprimer reprise fort réserve contre,réforme,juger injuste position heure voter
injuste position heure voter contre,réforme,abstenir indique figaro groupe meilleur
favorable républicain allié circonstance gouvernement,réforme,diviser question retraite député devoir
dizaine député wauquiéziste trentaine voter,réforme,préciser député lr ajouter situer
législature fois grand majorité défavorable,réforme,député gros quinzaine radicalement contre
communiste devoir énorme surprise opposer,réforme,député non-inscrit devoir voter contre
national texte voter projet loi,réforme,retraite adopter chambre haute fin
paritaire cmp mercredi ligne définitif,réforme,controverser écrire réunion heure réunir
parlementaire aboutir donner enjeu contre,réforme,retraite parlementaire préparer soin cmp
élu composent parlementaire présent favorable,réforme,cmp censer conclusif énième rebondissement
lr NDLR décembre aller voter,réforme,biaiser débat confier élu député
abstention lr espèrent renier conviction,réforme,porter opposant rappeler député lr
minoritaire cmp déterminer empêcher vote,réforme,retraite répondre sénatrice socialiste moniqu
ministre travail fonction public défendre,réforme,consister essentiel reporter âge légal
manifestant gouvernement françois fillon céder,réforme,voter octobre promulguer novembre tête
novembre tête combat politique contre,réforme,ps engager abroger élu mois
augmentation durée activité présenter socle,réforme,simple allongement durée cotisation report
journée mobilisation organiser mars connaître,réforme,retraite objectif demander changement politique
fillon montre inflexible question reculer,réforme,retraite prévenir français effort nécessaire
monter créneau terrain jour présentation,réforme,mediapart publier verbatim enregistrement clandestin
non-lieu totalité dossier incriminé pleine,réforme,retraite attaque porter autant gauche
octobre dénouement politique contestation social,réforme,poursuivre trêve estival journée organiser
octobre million rue chiffre dépasser,réforme,cours noter comptage indépendant apparaître
novembre opinion rester partager soutien,réforme,élevé occasion cortège monstre baromètre
contre texte soutien finalement rare,réforme,retraite expliquer compréhension majoritaire problème
révèl majorité français considérer adoption,réforme,vote déni démocratie majorité exister
balayer hypothèse recours article adopter,réforme,retraite option manifestement rejeter français
sympathisant républicain électorat pourtant favorable,réforme,refuser passage force ligne rouge
ligne rouge français adopter projet,réforme,gouvernement recours article constitution article
sondage autant sondé disent opposer,réforme,souhaiter rejet cas vote favorable
mouvement social poursuivre cas adoption,réforme,hausse point rapport mars sympathisant
commission mixte paritaire projet loi,réforme,retraite lire ci-dessous issue journée
soirée élisabeth born ministre concerner,réforme,sentiment prendre risque issue réunion
encombre majorité sénatorial largement favorable,réforme,partir heure texte reviendra palais
issue inéluctable inenvisageable hypothèse adoption,réforme,grâce article alinéa constitution pourtant
macronist impopulaire prendre risque rejet,réforme,crise politique majeur interroger député
majorité solide assemblée national adopter,réforme,changement dernier minute vote favorable
côté droite député voter contre,réforme,devoir abstenir bien trop commode
inquiéter prudent macroniste enclin risquer,réforme,militer long date vote défavorable
assemblée national voter partir heure,réforme,retraite tandis sénat adopter fin
jeudi syndicat engager bataille contre,réforme,retraite réitérer jeudi appel député
départ retraite voter contre projet,réforme,déclarer françois hommeril cfe cgc
vote jour rôle crucial stopper,réforme,fondamentalement injuste déconnecter réalité travail
rester essentiel au-delà enjeu fond,réforme,fiasco politique victoire pyrrhu emmanuel
fauter analyse exécutif savoir avancer,réforme,retraite heureux plaider justice assumer
gaffe exécutif courage bon cœur,réforme,pécher naïveter présomption maladresse image
reprocher an emmanuel macron courage,réforme,difficile filer déficit stupéfier voir
droite frondeur socialiste cesse raboter,réforme,dussopt coûteux courageux ensuite humilier
retrouver côté priver droite paternité,réforme,réclamer voir député lr habitué
devoir résigner sortir séquence affaibli,réforme,retraite passer entériner goût amertume
forme sénat jeudi matin examen,réforme,député annoncer bien périlleux rejet
voter élisabeth born devoir résister,réforme,formellement adopter sortir totalement indemne
sortir totalement indemne capacité mener,réforme,promettre chef état questionner profiler
pourtant ménager peine tenter transformer,réforme,retraite qualifiée réforme born manifestant
tenter transformer réforme retraite qualifiée,réforme,born manifestant succès personnel savoir
initial emmanuel macron écartant adoption,réforme,travers amendement expéditif marge discussion
nourrir éric ciotti président lr,réforme,présenter début année élisabeth born
républicain essayer apporter modification important,réforme,juger indispensable constat éric ciotti
termine majorité sein républicain reconnaître,réforme,nécessaire sénat bruno retailleau estimer
regarder doigt crise politique provoquer,réforme,retraite tentation grand regarder imputer
faiblesse président français préférer passer,réforme,député voter assemblée mois débat
mois débat houleux autour projet,réforme,retraite heure dénouement sonner huée
boiteux quotidien espagnol jug texte,réforme,décaféiné ambitieux initial force révision
paritaire telegraph quotidien britannique demande,réforme,emmanuel macron canard boiteux journal
déclenchement élisabeth born adopter,réforme,retraite opposition compter bien riposter
gouvernement espérer apprêter voter contre,réforme,retraite voter motion censure déclarer
an fond parlementaire gauche empêcher,réforme,exister estime ann charlène bezzina
vivement véhicule législatif employer passer,réforme,ensemble mécanisme parlementarisme rationaliser jamais
taxe carbon revenu universel véritable,réforme,état appeler évidence isf démultiplication
évidence isf démultiplication investissement public,réforme,santé éducation milieu maelstrom imposer
défi transition écologique mener véritable,réforme,école assurer financement innovation trivialement
alternative annoncer revue dépense printemps,réforme,retraite jamais clairement présenter manière
augmenter recette diminuer dépense appellation,réforme,double dividend étude comparatif finance
trajectoire dette exécutif perdre tableau,réforme,contester jamais finance public paraître
contre gouvernement dernier aboutir opposant,réforme,retraite rue mobilisation craindre débordement
police tension bordeaux brest opposant,réforme,battu pavé crainte voir violence
mars journée mobilisation programmer contre,réforme,syndicat parvenir maintenir ordre cortège
autant inédite journée protestation contre,réforme,retraite jeudi février leader intersyndicale
ouvrier employé catégorie socioprofessionnel opposer,réforme,respectivement sondage elab bfmtv effectuer
morbihan centre hexagone pareillement opposer,réforme,retraite loir-et-cher indre creuse flirter
national rn sympathisant fortement opposer,réforme,dernier sondage odoxa figaro égalité
habitant rue incarnation opposition droite,réforme,retraite aurélien pradié député lot
électeur choix révéler cornélien parlementaire,réforme,retraite échapper règle
exclure emmanuel macron retire,réforme,retraite attendre grand-chose intervention téléviser
président chou blanc prévoir opposant,réforme,exécutif face-à-face continuer prévoir porte
,réforme,retraite est-ell réellement nom texte
produire oeil emmanuel macron proposer,réforme,mois réélection guerre ukraine commencer
rajouter dimension institutionnel recours valider,réforme,assister crise composite chimiquement pur
répondre aucun angoisse pire oeil,réforme,proposer aggrave situation juger précaire
début apaisement gouvernement véritablement lancer,réforme,rejet jamais varier baisse hausse
emmanuel macron reconnaître colère au-delà,réforme,retraite beaucoup chose retraite colère
heure heure heure trop tard,réforme,retraite cumuler inconvénient français absorber
déficit élection emmanuel macron urgence,réforme,enrayer dégradation compte partager aujourd'hui
négociation parcours parlementaire chaotique pourtant,réforme,nécessaire exécutif saisir emblée caractère
brûler grève éboueur parisien contre,réforme,retraite semaine mouvement reconduire lundi
politique institutionnel exprimer fond opposition,réforme,retraite appel souveraineté populaire demander
lendemain mobilisation contre projet loi,réforme,retraite entrer période société passer
populaire prolétariser etc. opposition massif,réforme,retraite exprimer rejet contre percevoir
instance décider voie référendaire sort,réforme,tirer enseignement fois exprimer volonté
règle jeu institutionnel mouvement contestation,réforme,retraite débouche tour in fine
institution participer fracture démocratique contestation,réforme,retraite finalement symptôme contrairement prétendre
substance couper demo aucun appeler,réforme,institutionnel sortir impasse vérité source
